OBJECTID,tmc,speed_limit
1040,129-05370,40
1041,129N05387,30
1042,129-05375,30
1043,129N05375,30
1044,129-14215,30
1045,129N05381,35
1046,129-05378,45
1047,129-15504,35
1048,129-05372,40
1049,129-05376,35
1050,129N05367,40
1051,129-06281,40
1052,129N05369,25
1053,129-05385,30
1054,129-06280,40
1055,129-05379,40
1056,129-06282,30
1057,129-06290,30
1058,129N05379,40
1059,129N05389,30
1060,129-08516,30
1061,129N14215,30
1062,129N05386,30
1063,129-08517,30
1064,129-05366,40
1065,129N05371,40
1066,129-06284,30
1067,129-05374,30
1068,129N06284,30
1069,129-05387,30
1070,129-05369,35
1071,129-05371,50
1072,129-08372,30
1073,129N08429,25
1074,129-14331,30
1075,129N08373,30
1076,129N08377,25
1077,129-08430,30
1078,129N14331,30
1079,129N08431,25
1080,129N08370,30
1081,129-08373,30
1082,129-08374,30
1083,129N08368,35
1084,129N08505,25
1085,129-08370,30
1086,129-08368,30
1087,129-08375,30
1088,129-08369,30
1089,129-08371,30
1090,129N08369,30
1091,129N08378,25
1092,129N08374,30
1093,129-08377,25
1094,129-08429,30
1095,129N08371,30
1096,129+08371,30
1097,129+08378,30
1098,129+08431,30
1099,129+08372,30
1100,129+08370,30
1101,129+08375,30
1102,129+14331,30
1103,129+08374,30
1104,129+08377,30
1105,129P08377,25
1106,129P08370,30
1107,129+08430,30
1108,129P08369,30
1109,129P08505,25
1110,129P08378,30
1111,129P08375,25
1112,129P08431,25
1113,129P08368,35
1114,129P08374,30
1115,129P08429,30
1116,129P08371,30
1117,129+08373,30
1118,129+08369,30
1119,129P08373,30
1120,129+08176,35
1121,129+08173,35
1122,129P08155,45
1123,129+08177,30
1124,129P08174,40
1125,129P10444,35
1126,129+08178,35
1127,129+08181,30
1128,129+08179,25
1129,129+08172,30
1130,129+08174,35
1131,129+08175,40
1132,129P08171,45
1133,129P08181,30
1134,129+10443,35
1135,129P08172,30
1136,129+10444,35
1137,129P08179,25
1138,129+08180,30
1139,129P08178,25
1140,129-08173,40
1141,129-08176,30
1142,129-08174,40
1143,129-10443,35
1144,129N08179,25
1145,129N10442,35
1146,129-08172,35
1147,129-08180,30
1148,129-10442,35
