tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
129-04338,MA-128,SOUTHBOUND,CRAFTS RD/EXIT 12,MA,ESSEX,01930,42.6222,-70.67671,42.62563,-70.69673,1.082354,6.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,33565,964,308,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,16783,482,154
129-05669,MA-18,SOUTHBOUND,MA-139/NORTH AVE/RANDOLPH ST,MA,PLYMOUTH,02351,42.1523,-70.95514,42.12932,-70.95001,1.631806,10.0,America/New_York,P1.11,USA,417,3,N,3,9271,6,,4,18,4,1,18,24294,1117,267,1,4,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,12147,559,134
129-04335,MA-128,SOUTHBOUND,SCHOOL ST/EXIT 15,MA,ESSEX,01930,42.6174,-70.72257,42.59054,-70.76156,2.784953,12.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,34445,984,315,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,17223,492,158
129-50297,E 1ST ST,WESTBOUND,SUMMER ST,MA,SUFFOLK,02127,42.33829,-71.02724,42.33816,-71.03548,0.420876,1.0,America/New_York,P1.11,USA,50296,5,N,3,9271,2,,2,,1,1,,21220,830,234,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,10610,415,117
129-04336,MA-128,SOUTHBOUND,MA-133/ESSEX AVE/EXIT 14,MA,ESSEX,01930,42.62367,-70.71114,42.61937001295,-70.72002998087,0.542926,10.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,33305,963,308,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,16653,482,154
129-04333,MA-128,SOUTHBOUND,GRAPEVINE RD/EXIT 17,MA,ESSEX,01944,42.59053,-70.79367,42.58649,-70.81887,1.338552,16.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,46473,1265,428,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,23237,633,214
129P10557,WESTERN AVE,EASTBOUND,MAGAZINE ST,MA,MIDDLESEX,02139,42.36522,-71.10495,42.36532,-71.10434,0.03198,5.5,America/New_York,P1.11,USA,1068,4,N,3,9271,1,,4,,1,1,,19949,642,160,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,19949,642,160
129-04334,MA-128,SOUTHBOUND,PINE ST/EXIT 16,MA,ESSEX,01944,42.59021,-70.76471,42.59081,-70.79006,1.301361,14.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,35818,1009,324,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,17909,505,162
129-04331,MA-128,SOUTHBOUND,SOHIER RD/BRIMBAL AVE/EXIT 19,MA,ESSEX,01915,42.57362,-70.85861,42.57517,-70.87786,0.985093,20.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,48211,947,378,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,24106,474,189
129-04332,MA-128,SOUTHBOUND,MA-22/ESSEX ST,MA,ESSEX,01915,42.58468,-70.82061,42.57349,-70.85688,2.132921,18.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,48816,998,389,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,24408,499,195
129N10938,TREMONT ST,EASTBOUND,WASHINGTON ST,MA,SUFFOLK,02135,42.35058,-71.16862,42.35069,-71.16842,0.012728,1.0,America/New_York,P1.11,USA,1214,4,N,4,9271,2,,2,,1,1,,11793,672,95,1,23,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5897,336,48
129N08624,RIVER RD,SOUTHBOUND,RT-9/WASHINGTON ST,MA,NORFOLK,02445,42.33227,-71.11366,42.33187,-71.1137,0.028069,1.0,America/New_York,P1.11,USA,712,5,N,3,9271,6,1,6,9,4,1,9,41085,1891,452,1,26,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,20543,946,226
129N05595,MA-140,SOUTHBOUND,I-95,MA,NORFOLK,02035,42.04568,-71.24505,42.03992,-71.23893,0.510958,60.0,America/New_York,P1.11,USA,87,3,N,3,9271,2,,4,140,4,1,140,26516,1278,275,1,62,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,13258,639,138
129P10565,RT-38,NORTHBOUND,RT-38/RT-60/HIGH ST,MA,MIDDLESEX,02155,42.42065,-71.11797,42.42121,-71.11798,0.03869,1.5,America/New_York,P1.11,USA,1070,4,N,5,9271,2,,2,38,4,1,38,17241,982,139,1,31,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8621,491,70
129P10566,MA-22,NORTHBOUND,RT-1A/CABOT ST/RANTOUL ST,MA,ESSEX,01915,42.54174,-70.88508,42.5419,-70.88488,0.015026,1.5,America/New_York,P1.11,USA,1071,4,N,3,9271,6,,2,22,4,1,22,3972,226,32,1,47,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,1986,113,16
129-04328,MA-128,SOUTHBOUND,LOWELL ST/EXIT 26,MA,ESSEX,01960,42.53765,-70.94244,42.53457,-70.94998,0.440571,34.0,America/New_York,P1.11,USA,79,3,N,2,9271,6,1,4,128,4,1,128,92015,2576,829,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,46008,1288,415
129-04329,MA-128,SOUTHBOUND,MA-114/ANDOVER ST/EXIT 25,MA,ESSEX,01960,42.54925,-70.93662,42.54357,-70.9361,0.394204,32.0,America/New_York,P1.11,USA,79,3,N,2,9271,6,1,4,128,4,1,128,81517,2282,758,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,40759,1141,379
129N04290,I-495,SOUTHBOUND,MA-109/EXIT 19,MA,WORCESTER,01757,42.15098,-71.48602,42.144410017653,-71.483660005478,0.469768,71.0,America/New_York,P1.3,USA,77,1,N,1,9271,6,1,6,495,2,1,495,65075,1831,3711,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,32538,916,1856
129-04302,I-495,SOUTHBOUND,MA-119/GREAT RD/EXIT 31,MA,MIDDLESEX,01886,42.56692,-71.42922,42.54918,-71.47947,2.898563,46.0,America/New_York,P1.3,USA,77,1,N,1,9271,6,1,6,495,2,1,495,107928,3216,4291,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,53964,1608,2146
129N09980,BROADWAY,EASTBOUND,US-3/MASSACHUSETTS AVE,MA,MIDDLESEX,02474,42.41424,-71.15008,42.4142,-71.14998,0.005801,1.5,America/New_York,P1.11,USA,890,4,N,3,9271,2,,2,,1,1,,9975,389,109,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4988,195,55
129N09981,BROADWAY,SOUTHBOUND,COMMANDANTS WAY,MA,SUFFOLK,02150,42.38688,-71.0454,42.38673,-71.04559,0.01419,3.75,America/New_York,P1.11,USA,891,5,N,2,9271,2,1,6,1,3,1,1,72743,2037,655,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,36372,1019,328
129-04300,I-495,SOUTHBOUND,MA-2/EXIT 29,MA,MIDDLESEX,01460,42.53611,-71.4962,42.52396,-71.50595,0.975136,50.0,America/New_York,P1.3,USA,77,1,N,1,9271,6,1,6,495,2,1,495,100445,3015,4382,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,50223,1508,2191
129-04301,I-495,SOUTHBOUND,MA-110/MA-2A/KING ST/EXIT 30,MA,MIDDLESEX,01460,42.54739,-71.48376,42.53888,-71.49398,0.793194,48.0,America/New_York,P1.3,USA,77,1,N,1,9271,6,1,6,495,2,1,495,100861,3013,4058,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,50431,1507,2029
129N09984,BROADWAY,SOUTHBOUND,MA-16/REVERE BEACH PKWY,MA,SUFFOLK,02151,42.40361,-71.01789,42.40346,-71.01806,0.013512,1.0,America/New_York,P1.11,USA,891,4,N,3,9271,2,1,2,,1,1,,18526,609,146,1,90,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9263,305,73
129N10970,WEST ST,WESTBOUND,RT-18/MAIN ST,MA,NORFOLK,02190,42.18903,-70.95561,42.18898,-70.95583,0.011778,1.5,America/New_York,P1.11,USA,1225,4,N,3,9271,2,,4,18,4,1,18,24358,1120,268,1,18,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,12179,560,134
129P13617,52A,I-95 SOUTHBOUND,EXIT 52A,MA,MIDDLESEX,02421,42.42903,-71.26042,42.42911,-71.25898,0.262214,1.0,America/New_York,P4.0,USA,13616,2,N,1,9271,6,1,8,95,2,1,95,145160,4479,5971,1,4,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,72580,2240,2986
129N09986,BURLINGTON MALL RD,WESTBOUND,MA-3A/CAMBRIDGE ST,MA,MIDDLESEX,01803,42.4916,-71.19261,42.49144,-71.19424,0.084091,1.0,America/New_York,P1.11,USA,892,4,N,2,9271,6,,2,3,4,1,,16150,697,114,1,20,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8075,349,57
