tmc,speed_limit
129+05580,35
129+05579,25
129+05581,35
129+05575,45
129P06479,30
129+05572,30
129P05574,45
129P05577,30
129P05576,45
129+05578,20
129+06477,30
129+05573,30
129+06473,30
129+05576,45
129P06478,25
129+05577,30
129+05574,30
129+06479,30
129+06476,45
129+05811,30
129P06477,30
129+05583,30
129+06478,25
129+05582,30
129+06474,35
129+06475,50
129P05582,30
129-05572,40
129-05579,30
129-05577,20
129-05571,40
129-05573,35
129-06476,40
129-05581,30
129-06475,45
129N05574,45
129-05574,50
129-05578,30
129N06479,30
129-06477,20
129-06478,30
129N05579,30
129N05577,20
129-05582,30
129-05575,40
129N05578,30
129-06479,30
129-05583,30
129-06474,30
129-05580,30
129-05576,30
129N06477,20
129N05576,35
129-09078,40
129N09075,35
129+15397,40
129-09077,30
129N09073,25
129N09078,45
129-09075,35
129-09076,30
129-09073,35
129N09077,30
129P15397,40
129N09074,35
129-09079,40
129-09074,35
129+09075,35
129+09076,35
129P09074,25
129+09074,35
129P09078,45
129P09077,30
129+09079,40
129+09077,30
129P09075,35
129+09078,30
129P09073,25
129+09080,40
129-09086,35
129N04752,25
129-04748,45
129P15396,40
129-04751,40
129-04746,45
129N05824,40
129-09087,45
129N04751,40
129-04750,45
129N09086,25
129-04749,45
129-05823,45
129N05823,25
129N09087,40
129-05824,45
129-06336,40
129N04750,45
129-04747,45
C-165-21,45
129N04747,45
129+04748,45
129+04750,45
129N15396,40
129P05823,25
129+04749,45
129+09087,35
129+05824,40
129+04747,45
129P04751,40
129+04751,45
129P04750,45
129+06337,45
129P09086,25
129+06336,45
129+04752,40
129P09087,40
129P04747,45
129P05824,40
129+09088,45
C-166-10,25
129+08832,45
129+08843,30
129P08832,45
129+08840,30
129+08833,45
129+08836,35
129+08838,35
129+08835,35
129+08841,30
129+08839,35
129+09569,35
129+08829,40
129+08834,35
129+08842,30
129+08827,35
129P08831,40
129+08837,35
129+08828,40
129+08830,25
129P08828,40
129P08827,35
129P08834,35
129P08843,30
129+08831,45
129P08835,35
129-09569,30
129-08828,40
129-08832,45
129N08834,35
129-08833,35
129-08826,30
129-08830,45
129N08826,30
129N08835,35
129-08834,35
129N08831,40
129-08836,35
129N08828,40
129-08842,30
129-08840,30
129-08839,30
129-08829,25
129N08832,45
129N08827,40
129-08827,40
129-08831,45
129-08837,35
129-08835,35
129-08841,30
129-08838,35
129+08824,45
129+08821,35
129+08822,35
129+08825,40
129P08825,30
129+09568,40
129+08826,50
129+08823,30
129-08824,40
129-08823,45
129-08820,35
129-08821,35
129N08825,30
129-09568,40
129-08822,30
129-08825,45
129+08295,40
129+10061,40
129P10238,40
129+08288,35
129P10056,30
129P10061,40
129+08289,40
129P10057,30
129+08291,35
129+10057,30
129+10055,25
129+08292,40
129+08293,40
129+08294,35
129P08287,20
129P08290,35
129+10239,30
129P10053,30
C-171-15,30
129P10060,40
129+08290,35
129+10056,30
129P10054,25
129+10054,30
129-08287,35
129-08292,40
129N10054,25
129-08288,40
129N10053,30
129N10056,30
129-08289,35
129-08291,40
129N10239,30
129-10060,40
129-08293,35
129-10054,25
129-10238,30
129N08290,35
129-10053,30
129-10056,30
129-08294,40
129N10057,30
129N10238,40
129N10060,40
129N08287,20
129N10061,40
129-10055,30
129-08290,35
129P08791,30
129+08785,30
129P08785,30
129+08799,35
129+08793,30
129+08794,30
129+08796,25
129+08795,25
129+08797,30
129+08798,40
129+08791,30
129+08800,40
129P10565,30
129+08792,30
129+08787,30
129P08792,30
129P08796,25
129P08795,25
129-04868,30
129P08789,30
129+08790,30
129P08784,30
129P08786,30
129P08790,30
129+10565,30
129P08787,25
129+08786,30
129-08784,30
129-08799,40
129-10564,30
129N08791,30
129-08791,30
129-08794,25
129N08784,30
129-08790,30
129-08785,30
129+04869,30
129-08797,40
129N08786,30
129N08796,25
129-08786,30
129N10565,30
129N08795,25
129-08796,30
129-08798,35
129N08792,30
129-08789,30
129N08790,30
129-08792,30
129-08795,25
129N08785,30
129-08793,30
C-174-16,30
129+08080,30
129+08067,50
129+08070,50
129+08065,45
129+08072,45
129+08062,35
129P08070,50
129+08084,30
129P08068,50
129P08059,45
129P08073,25
129+08071,35
129P08082,35
129P08067,20
129P08076,35
129+08082,35
129+08075,35
129+08079,30
129+08073,45
129+08077,30
129+08060,35
129+08061,40
129+08066,45
129+08078,30
129+08064,35
129+08081,35
129+08083,35
129P08075,35
129+08076,35
129+08068,50
129P14212,30
129P08066,35
129P08078,30
129+08063,25
129+08069,50
129+08074,40
129P08065,45
129P08061,40
129+14212,30
129P08083,35
129P08063,35
129P08072,40
129-08073,40
129-08059,35
129-08080,35
129-08064,45
129N08063,40
129-08063,35
129-08074,35
129-08081,35
129-08065,45
129-08061,35
129-08071,45
129N08070,50
129N08068,50
129N08065,45
129N08076,35
129N08083,30
129-08067,50
129-08066,50
129N08062,35
129N08073,40
129-08060,40
129-08062,25
129N08075,35
129N08078,30
129-08083,30
129-08075,35
129-08068,50
129-08069,50
129-14212,30
129N14212,30
129N08059,45
129-08077,30
129-08079,30
129N08066,35
129-08082,35
129-08076,30
129-08070,35
129N08067,20
129N08061,40
129N08082,35
129-08078,30
129N08072,40
129-08072,45
129+08846,35
129P08459,30
129+08460,35
129+08845,35
129P08846,35
129P08844,35
129+08848,40
129+08461,30
129P08845,35
129P09016,35
129P08847,25
129-08459,35
129N08847,25
129N09016,30
129N08846,35
129-08845,35
129N08845,35
129N08844,35
129-08844,35
129-08847,40
129-08460,30
129+08320,35
129+08306,40
129P08324,35
129+08322,35
129P08311,35
129+08314,35
129+08321,35
129+08309,50
129P08309,40
129+08317,45
129P08305,40
129+08316,35
129+08319,35
129+08307,45
129+08324,35
129+08310,45
129+08308,45
129+08313,40
129P08313,35
129+08311,35
129P08315,35
129P08323,25
129+08312,45
129+08323,35
129+08315,40
129P08306,25
129P08319,35
129+08318,35
129-08315,35
129-08321,35
129-08312,40
129-08322,35
129-08320,35
129-08307,45
129N08306,25
129N08305,40
129-08309,45
129-08308,50
129N08315,35
129-08317,35
129N08324,35
129N08323,35
129N08319,35
129-08305,40
129-08311,45
129-08319,35
129-08318,35
129-08316,45
129-08306,45
129-08310,35
129N08313,35
129N08309,40
129-08323,35
129N08311,35
129-08313,35
129-08314,40
129-08700,30
129N08703,20
129-08708,25
129-08710,30
129-08707,30
129-08704,20
129-08711,35
129N05791,20
129-08697,30
129N08707,25
129N08699,30
129-08703,20
129N08710,30
129+05384,35
129N08697,35
129-05790,30
129-08709,30
129N05790,30
129-08701,20
129-08705,20
129-08712,25
129-05791,30
129N08711,20
129-08698,30
129-08702,25
129N08708,25
129N08701,20
129N08706,25
129-08699,30
129N08705,20
129N08702,20
129-08706,35
129N08704,20
129N08709,30
129N08713,25
129-05792,30
129N08712,25
129N05792,25
129+05792,30
129-05383,35
129P08710,30
129P08708,25
129P08707,25
129P08709,30
129P08713,25
129P08701,20
129+08710,30
129+08709,25
129P05792,25
129+08713,25
129+08698,30
129+08705,20
129+08700,30
129P08712,25
129+08703,25
129+08712,35
129+08702,20
129P08706,20
129+08708,25
129P08702,20
129+08704,20
129P08704,20
129P08697,35
129+05791,30
129P08705,20
129P05790,30
129P08703,20
129P05791,20
129P08699,30
129+08699,30
129+08706,20
129+08711,30
129+08697,30
129P08711,20
129+08707,35
129+08701,30
129+08954,40
